node_id,x,y,z,radius,parent_id
0,2.827398,2.573288,0.0,0.044908,-1
1,2.825808,2.581124,0.028915,0.044908,0
2,2.826456,2.590079,0.057528,0.044908,1
3,2.829445,2.59882,0.086059,0.044908,2
4,2.834313,2.608045,0.11418,0.044908,3
5,2.840414,2.615888,0.142479,0.044908,4
6,2.84668,2.62465,0.170477,0.044908,5
7,2.850611,2.632769,0.199076,0.044908,6
8,2.852452,2.639715,0.228192,0.044908,7
9,2.850577,2.644194,0.257758,0.044908,8
10,2.848404,2.64802,0.287433,0.044908,9
11,2.848486,2.650843,0.317288,0.044908,10
12,2.850425,2.652558,0.347168,0.044908,11
13,2.856934,2.653295,0.376402,0.044908,12
14,2.864852,2.653696,0.405331,0.044908,13
15,2.875739,2.652036,0.433208,0.044908,14
16,2.890168,2.650009,0.459399,0.044908,15
17,2.90791,2.651435,0.483486,0.044908,16
18,2.926557,2.654746,0.50674,0.044908,17
19,2.946997,2.662478,0.52721,0.044908,18
20,2.960296,2.67363,0.551679,0.030742,19
21,2.967566,2.686069,0.577906,0.030742,20
22,2.966514,2.697439,0.605503,0.030742,21
23,2.962656,2.708453,0.633124,0.030742,22
24,2.955664,2.720218,0.659797,0.030742,23
25,2.947687,2.729731,0.687094,0.030742,24
26,2.939866,2.737309,0.715039,0.030742,25
27,2.929049,2.746826,0.74132,0.030742,26
28,2.918822,2.756378,0.767856,0.030742,27
29,2.90989,2.766627,0.794594,0.029322,28
30,2.900812,2.772938,0.822449,0.029322,29
31,2.890323,2.777989,0.850091,0.029322,30
32,2.880343,2.782064,0.878084,0.027821,31
33,2.871288,2.782657,0.906653,0.027821,32
34,2.863944,2.779797,0.93557,0.027821,33
35,2.854837,2.77109,0.962714,0.027821,34
36,2.847189,2.762145,0.990304,0.027821,35
37,2.839809,2.753003,1.017908,0.027821,36
38,2.83522,2.740668,1.044828,0.027821,37
39,2.833652,2.726936,1.071432,0.027821,38
40,2.83452,2.712869,1.097903,0.027821,39
41,2.835054,2.697552,1.123688,0.027821,40
42,2.834517,2.680788,1.148551,0.027821,41
43,2.831226,2.660555,1.170382,0.027821,42
44,2.822828,2.638021,1.188169,0.027821,43
45,2.812356,2.612298,1.199215,0.027821,44
46,2.795025,2.588819,1.206171,0.02,45
47,2.779552,2.56324,1.207609,0.02,46
48,2.766693,2.53625,1.205644,0.02,47
49,2.751587,2.510381,1.204263,0.02,48
50,2.734567,2.485909,1.207213,0.02,49
51,2.717468,2.461447,1.210246,0.02,50
52,2.700558,2.436695,1.211217,0.02,51
53,2.681298,2.413873,1.208789,0.02,52
54,2.662452,2.391353,1.202773,0.02,53
55,2.642959,2.369927,1.195,0.02,54
56,2.622365,2.350906,1.184396,0.02,55
57,2.60141,2.333141,1.17236,0.02,56
58,2.580959,2.314303,1.161105,0.02,57
59,2.561736,2.292666,1.153366,0.02,58
60,2.544331,2.268794,1.148318,0.02,59
61,2.526014,2.245514,1.152037,0.02,60
62,2.503563,2.229514,1.163257,0.02,61
63,2.479112,2.215637,1.173676,0.02,62
64,2.453443,2.203396,1.1832,0.02,63
65,2.424951,2.195952,1.188425,0.02,64
66,2.397053,2.185492,1.191716,0.02,65
67,2.369387,2.174013,1.19323,0.02,66
68,2.342984,2.159815,1.193637,0.02,67
69,2.319458,2.141636,1.190208,0.02,68
70,2.296855,2.12259,1.185122,0.02,69
71,2.277085,2.101403,1.177497,0.02,70
72,2.259925,2.079797,1.165829,0.02,71
73,2.243416,2.05858,1.152528,0.02,72
74,2.229266,2.03493,1.140742,0.02,73
75,2.240434,2.080738,1.172531,0.005,73
76,2.252855,2.097587,1.19477,0.005,71
77,2.234788,2.104584,1.21723,0.005,76
78,2.217441,2.11282,1.240273,0.005,77
79,2.200658,2.116766,1.264777,0.005,78
80,2.198618,2.128159,1.291887,0.005,79
81,2.318837,2.126717,1.205116,0.005,70
82,2.337441,2.11585,1.225353,0.005,81
83,2.343068,2.111485,1.253947,0.005,82
84,2.358145,2.102235,1.27786,0.005,83
85,2.370709,2.094172,1.303856,0.005,84
86,2.361209,2.085641,1.325349,0.005,85
87,2.358225,2.077479,1.34879,0.005,86
88,2.375575,2.062664,1.359013,0.005,87
89,2.388922,2.042143,1.364086,0.005,88
90,2.408028,2.031032,1.37577,0.005,89
91,2.412435,2.008962,1.386656,0.005,90
92,2.42983,1.991092,1.388399,0.005,91
93,2.45017,1.978364,1.395421,0.005,92
94,2.320871,2.164045,1.213464,0.005,68
95,2.307334,2.173192,1.238352,0.005,94
96,2.296411,2.188363,1.261706,0.005,95
97,2.27585,2.197249,1.28125,0.005,96
98,2.265248,2.217476,1.300033,0.005,97
99,2.257498,2.220203,1.323645,0.005,98
100,2.234724,2.222552,1.333685,0.005,99
101,2.233484,2.232797,1.356456,0.005,100
102,2.230872,2.256473,1.364047,0.005,101
103,2.22826,2.280149,1.371637,0.005,102
104,2.420011,2.188523,1.210788,0.005,66
105,2.441521,2.19351,1.231077,0.005,104
106,2.46719,2.199747,1.245066,0.005,105
107,2.482497,2.21949,1.260663,0.005,106
108,2.50325,2.226938,1.280447,0.005,107
109,2.524132,2.227095,1.30184,0.005,108
110,2.536658,2.232484,1.322793,0.005,109
111,2.529466,2.241342,1.345038,0.005,110
112,2.522274,2.2502,1.367282,0.005,111
113,2.430289,2.221566,1.203101,0.005,65
114,2.434506,2.231298,1.230338,0.005,113
115,2.447472,2.226686,1.25638,0.005,114
116,2.464664,2.215754,1.278207,0.005,115
117,2.471869,2.196292,1.29942,0.005,116
118,2.474139,2.218101,1.311428,0.005,117
119,2.480399,2.230783,1.332043,0.005,118
120,2.492106,2.240512,1.351875,0.005,119
121,2.503814,2.250241,1.371706,0.005,120
122,2.452951,2.177332,1.198048,0.005,64
123,2.436628,2.163273,1.217781,0.005,122
124,2.413698,2.156865,1.235701,0.005,123
125,2.393699,2.135986,1.240076,0.005,124
126,2.371077,2.126356,1.256331,0.005,125
127,2.348587,2.131351,1.274889,0.005,126
128,2.45617,2.215065,1.192998,0.005,63
129,2.439373,2.20792,1.216573,0.005,128
130,2.430044,2.214463,1.243803,0.005,129
131,2.434652,2.234075,1.264986,0.005,130
132,2.439184,2.253608,1.287298,0.005,131
133,2.444164,2.260653,1.315656,0.005,132
134,2.444979,2.271843,1.337997,0.005,133
135,2.450582,2.272719,1.362345,0.005,134
136,2.475109,2.275136,1.366535,0.005,135
137,2.484192,2.288942,1.385294,0.005,136
138,2.483102,2.313181,1.391316,0.005,137
139,2.47456,2.336545,1.38883,0.005,138
140,2.466018,2.359909,1.386345,0.005,139
141,2.457476,2.383272,1.383859,0.005,140
142,2.506811,2.252908,1.181755,0.005,62
143,2.518066,2.265759,1.205944,0.005,142
144,2.510235,2.274277,1.232817,0.005,143
145,2.490369,2.269898,1.253958,0.005,144
146,2.477655,2.273744,1.280542,0.005,145
147,2.465944,2.278656,1.307716,0.005,146
148,2.460598,2.284363,1.331462,0.005,147
149,2.547416,2.241983,1.16142,0.005,60
150,2.545949,2.225031,1.185582,0.005,149
151,2.548178,2.214259,1.213361,0.005,150
152,2.548729,2.198229,1.238632,0.005,151
153,2.602693,2.296177,1.171058,0.005,58
154,2.629547,2.285043,1.16631,0.005,153
155,2.656964,2.274736,1.159857,0.005,154
156,2.684389,2.264554,1.153209,0.005,155
157,2.712804,2.271627,1.154654,0.005,156
158,2.741983,2.278304,1.152961,0.005,157
159,2.771172,2.284915,1.150901,0.005,158
160,2.799878,2.282391,1.143353,0.005,159
161,2.82219,2.263604,1.145485,0.005,160
162,2.851151,2.263631,1.149417,0.005,161
163,2.87561,2.279745,1.147042,0.005,162
164,2.904641,2.280721,1.151749,0.005,163
165,2.93203,2.286626,1.142304,0.005,164
166,2.957605,2.299846,1.148421,0.005,165
167,2.982298,2.316105,1.144702,0.005,166
168,3.00807,2.320576,1.13096,0.005,167
169,2.622276,2.343142,1.191454,0.005,57
170,2.627128,2.3539,1.218386,0.005,169
171,2.639341,2.347153,1.244158,0.005,170
172,2.649953,2.360232,1.268052,0.005,171
173,2.663335,2.379327,1.286713,0.005,172
174,2.681357,2.391981,1.306906,0.005,173
175,2.688379,2.406905,1.325694,0.005,174
176,2.680142,2.404149,1.349136,0.005,175
177,2.679637,2.421056,1.367546,0.005,176
178,2.679132,2.437963,1.385955,0.005,177
179,2.66287,2.451516,1.399253,0.005,178
180,2.646608,2.465069,1.412552,0.005,179
181,2.651224,2.489634,1.412072,0.005,180
182,2.639263,2.364607,1.205053,0.005,56
183,2.653997,2.359114,1.229741,0.005,182
184,2.651556,2.351199,1.257948,0.005,183
185,2.635068,2.339694,1.279559,0.005,184
186,2.631605,2.316708,1.297561,0.005,185
187,2.638648,2.308288,1.320022,0.005,186
188,2.631996,2.291689,1.337493,0.005,187
189,2.613394,2.278491,1.347727,0.005,188
190,2.593769,2.270137,1.360769,0.005,189
191,2.611033,2.269036,1.378818,0.005,190
192,2.621473,2.252352,1.394234,0.005,191
193,2.634637,2.346505,1.211798,0.005,55
194,2.628455,2.337704,1.239142,0.005,193
195,2.621942,2.340171,1.26807,0.005,194
196,2.62,2.348595,1.296687,0.005,195
197,2.61728,2.372775,1.312905,0.005,196
198,2.611472,2.383385,1.334784,0.005,197
199,2.626645,2.387802,1.354156,0.005,198
200,2.641818,2.39222,1.373527,0.005,199
201,2.66069,2.408519,1.375309,0.005,200
202,2.635724,2.393009,1.216296,0.005,54
203,2.62396,2.389256,1.242768,0.005,202
204,2.605003,2.400433,1.262229,0.005,203
205,2.597138,2.404706,1.29037,0.005,204
206,2.573366,2.405199,1.307415,0.005,205
207,2.568964,2.426684,1.319416,0.005,206
208,2.699809,2.398871,1.227017,0.005,53
209,2.719632,2.39318,1.24855,0.005,208
210,2.739762,2.390021,1.27055,0.005,209
211,2.762198,2.385626,1.289936,0.005,210
212,2.785683,2.389487,1.307981,0.005,211
213,2.799917,2.383027,1.327492,0.005,212
214,2.808218,2.396249,1.347018,0.005,213
215,2.828229,2.385453,1.357412,0.005,214
216,2.848239,2.374658,1.367807,0.005,215
217,2.866867,2.388145,1.37761,0.005,216
218,2.724109,2.432243,1.229259,0.005,52
219,2.739427,2.414022,1.246716,0.005,218
220,2.756421,2.404585,1.269302,0.005,219
221,2.759512,2.38269,1.288558,0.005,220
222,2.773839,2.361271,1.303368,0.005,221
223,2.769267,2.359619,1.327891,0.005,222
224,2.764694,2.357967,1.352413,0.005,223
225,2.749094,2.361062,1.371702,0.005,224
226,2.733494,2.364158,1.390991,0.005,225
227,2.728299,2.387976,1.396532,0.005,226
228,2.726633,2.412562,1.400742,0.005,227
229,2.718663,2.42989,1.416904,0.005,228
230,2.711061,2.408922,1.428197,0.005,229
231,2.70346,2.387953,1.439489,0.005,230
232,2.728639,2.484496,1.225864,0.005,51
233,2.729693,2.506756,1.245614,0.005,232
234,2.746553,2.522731,1.263719,0.005,233
235,2.745251,2.54353,1.284333,0.005,234
236,2.730096,2.565474,1.296965,0.005,235
237,2.727095,2.590476,1.312683,0.005,236
238,2.749331,2.600146,1.318771,0.005,237
239,2.755376,2.600294,1.343029,0.005,238
240,2.739004,2.590793,1.35936,0.005,239
241,2.744887,2.567927,1.367577,0.005,240
242,2.735235,2.545519,1.373024,0.005,241
243,2.723213,2.52372,1.370718,0.005,242
244,2.702448,2.527877,1.384005,0.005,243
245,2.683473,2.535037,1.369387,0.005,244
246,2.664498,2.542197,1.354769,0.005,245
247,2.731875,2.513516,1.218641,0.005,50
248,2.721912,2.533552,1.23813,0.005,247
249,2.724858,2.557411,1.255485,0.005,248
250,2.712369,2.575818,1.27484,0.005,249
251,2.751216,2.538464,1.21481,0.005,49
252,2.763283,2.555497,1.235362,0.005,251
253,2.748096,2.558116,1.214362,0.005,48
254,2.732829,2.575773,1.232838,0.005,253
255,2.722563,2.591296,1.25624,0.005,254
256,2.698848,2.600259,1.271218,0.005,255
257,2.684412,2.615571,1.292166,0.005,256
258,2.802714,2.57115,1.224958,0.005,47
259,2.819361,2.565846,1.248749,0.005,258
260,2.830176,2.549202,1.270824,0.005,259
261,2.829125,2.525358,1.288326,0.005,260
262,2.829801,2.510795,1.314201,0.005,261
263,2.831442,2.50911,1.33909,0.005,262
264,2.831933,2.495744,1.360212,0.005,263
265,2.832424,2.482379,1.381333,0.005,264
266,2.811382,2.470741,1.388175,0.005,265
267,2.78755,2.474385,1.39479,0.005,266
268,2.766203,2.468059,1.406159,0.005,267
269,2.745365,2.473339,1.393396,0.005,268
270,2.804953,2.583284,1.19738,0.02,45
271,2.796378,2.554588,1.195686,0.02,270
272,2.792319,2.524909,1.195445,0.02,271
273,2.79194,2.495184,1.199063,0.02,272
274,2.794077,2.466397,1.207052,0.02,273
275,2.796494,2.437299,1.21393,0.02,274
276,2.797787,2.407956,1.220024,0.02,275
277,2.794648,2.378265,1.22218,0.02,276
278,2.78877,2.348881,1.221589,0.02,277
